route_id,service_id,trip_id,shape_id,trip_headsign,direction_id
"2-ALM-F-mjp-1","T0","17067982.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067988.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067992.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067999.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068003.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068009.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068018.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068024.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068029.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068034.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068040.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068046.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068052.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068058.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068064.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068070.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068076.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068082.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068088.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068094.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068104.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068110.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068116.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068122.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068138.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068144.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068150.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068156.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068162.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068168.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068174.T0.2-ALM-F-mjp-1.1.H","2-ALM-F-mjp-1.1.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068379.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068398.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068399.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068381.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068383.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068385.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068387.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068396.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068389.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068391.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068393.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068395.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17068397.T0.2-ALM-F-mjp-1.2.H","2-ALM-F-mjp-1.2.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067941.T0.2-ALM-F-mjp-1.3.H","2-ALM-F-mjp-1.3.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067944.T0.2-ALM-F-mjp-1.3.H","2-ALM-F-mjp-1.3.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067963.T0.2-ALM-F-mjp-1.3.H","2-ALM-F-mjp-1.3.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067966.T0.2-ALM-F-mjp-1.3.H","2-ALM-F-mjp-1.3.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067970.T0.2-ALM-F-mjp-1.3.H","2-ALM-F-mjp-1.3.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067976.T0.2-ALM-F-mjp-1.3.H","2-ALM-F-mjp-1.3.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067946.T0.2-ALM-F-mjp-1.3.H","2-ALM-F-mjp-1.3.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067948.T0.2-ALM-F-mjp-1.3.H","2-ALM-F-mjp-1.3.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067950.T0.2-ALM-F-mjp-1.3.H","2-ALM-F-mjp-1.3.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067953.T0.2-ALM-F-mjp-1.3.H","2-ALM-F-mjp-1.3.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067955.T0.2-ALM-F-mjp-1.4.H","2-ALM-F-mjp-1.4.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067957.T0.2-ALM-F-mjp-1.4.H","2-ALM-F-mjp-1.4.H","City (Flinders Street)","0"
"2-ALM-F-mjp-1","T0","17067968.T0.2-ALM-F-mjp-1.4.H","2-ALM-F-mjp-1.4.H","City (Flinders Street)","0"
